id,districtId,name
1134,163,Seririt
1135,145,Serongga
1136,196,Sesetan
1137,142,Siakin
1138,145,Siangan
1139,146,Sibanggede
1140,146,Sibangkaja
1141,172,Sibetan
1142,196,Sidakarya
1143,145,Sidan
1144,194,Sidemen
1145,162,Sidetapa
1146,151,Silangjana
1147,173,Sinabun
1148,194,Sinduwati
1149,191,Singakerta
1150,168,Singapadu
1151,168,Singapadu Kaler
1152,168,Singapadu Tengah
1153,144,Sobangan
1154,142,Songan A
1155,142,Songan B
1156,169,Suana
1157,185,Subagan
1158,183,Subamia
1159,142,Subaya
1160,178,Subuk
1161,173,Sudaji
1162,183,Sudimara
1163,160,Sukadana
1164,151,Sukasada
1165,142,Sukawana
1166,168,Sukawati
1167,147,Sulahan
1168,181,Sulang
1169,176,Sulangai
1170,163,Sulanyah
1171,165,Sumberklampok
1172,187,Sumerta
1173,187,Sumerta Kaja
1174,187,Sumerta Kauh
1175,187,Sumerta Kelod
1176,145,Sumita
1177,147,Susut
1178,142,Suter
1179,145,Suwat
1180,173,Suwug
1181,158,Tajen
1182,177,Tajun
1183,140,Takmung
1184,194,Talibeng
1185,146,Taman
1186,171,Tamanbali
1187,177,Tambakan
1188,177,Tamblang
1189,195,Tampaksiring
1190,162,Tampekan
1191,164,Tangguntiti
1192,163,Tangguwisia
1193,149,Tangkas
1194,169,Tanglad
1195,179,Tanjung Benoa
1196,192,Taro
1197,149,Tegak
1198,159,Tegal Badeng Barat
1199,159,Tegal Badeng Timur
1200,189,Tegal Harum
1201,189,Tegal Kertha
1202,164,Tegal Mengkeb
1203,145,Tegal Tugu
1204,190,Tegalcangkring
1205,185,Tegalinggah
1206,166,Tegaljadi
1207,192,Tegallalang
1208,158,Tegallinggah
1209,151,Tegallinggah
1210,182,Tejakula
1211,178,Telaga
1212,194,Telagatawang
1213,182,Tembok
1214,161,Tembuku
1215,145,Temesi
1216,162,Temukus
1217,156,Tenganan
1218,158,Tengkudak
1219,142,Terunyan
1220,160,Tianyar Barat
1221,160,Tianyar Tengah
1222,186,Tibubeneng
1223,167,Tibubiu
1224,147,Tiga
1225,162,Tigawasa
1226,140,Tihingan
1227,153,Tiying Gading
1228,167,Timpag
1229,140,Timuhun
1230,165,Tinga-Tinga
1231,178,Tinggarsari
1232,162,Tirtasari
1233,167,Tista
1234,141,Tista
1235,178,Tista
1236,178,Titab
1237,141,Tiyingtali
1238,140,Tohpati
1239,149,Tojan
1240,188,Tonja
1241,194,Tri Eka Buana
1242,141,Tri Buana
1243,166,Tua
1244,193,Tuban
1245,175,Tukadaya
1246,150,Tukadmungga
1247,165,Tukadsumaga
